"RowNr","NoteNr","TimeStamp","Pitch","Velocity","Key_OnOff","Device","Tempo","SubNr","BlockNr","TrialNr","Skill","Condition","Image","IOI","normIOI","Interval","Subcomponent","Grouping"
50,115,21043,74,66,1,2,250,12,1,2,"dynamics","performing","2_p_stim_d.png",230,0.92,49,"Piano","performing-dynamics"
51,117,21280,74,61,1,2,250,12,1,2,"dynamics","performing","2_p_stim_d.png",237,0.948,50,"Piano","performing-dynamics"
54,123,22692,65,56,1,2,250,12,1,2,"dynamics","performing","2_p_stim_d.png",233,0.932,53,"Piano","performing-dynamics"
55,125,22939,64,58,1,2,250,12,1,2,"dynamics","performing","2_p_stim_d.png",247,0.988,54,"Piano","performing-dynamics"
56,127,23191,64,52,1,2,250,12,1,2,"dynamics","performing","2_p_stim_d.png",252,1.008,55,"Piano","performing-dynamics"
59,133,24621,67,62,1,2,250,12,1,2,"dynamics","performing","2_p_stim_d.png",248,0.992,58,"Piano","performing-dynamics"
60,135,24855,71,62,1,2,250,12,1,2,"dynamics","performing","2_p_stim_d.png",234,0.936,59,"Piano","performing-dynamics"
61,137,25110,71,56,1,2,250,12,1,2,"dynamics","performing","2_p_stim_d.png",255,1.02,60,"Piano","performing-dynamics"
62,138,25345,72,70,1,2,250,12,1,2,"dynamics","performing","2_p_stim_d.png",235,0.94,61,"Piano","performing-dynamics"
63,141,25592,72,70,1,2,250,12,1,2,"dynamics","performing","2_p_stim_d.png",247,0.988,62,"Piano","performing-dynamics"
64,143,25819,73,72,1,2,250,12,1,2,"dynamics","performing","2_p_stim_d.png",227,0.908,63,"Piano","performing-dynamics"
65,145,26055,73,79,1,2,250,12,1,2,"dynamics","performing","2_p_stim_d.png",236,0.944,64,"Piano","performing-dynamics"
2,18,7212,78,89,1,2,250,12,1,3,"dynamics","performing","3_p_stim_d.png",230,0.92,1,"Forte","performing-dynamics"
3,20,7449,79,86,1,2,250,12,1,3,"dynamics","performing","3_p_stim_d.png",237,0.948,2,"Forte","performing-dynamics"
4,22,7691,76,72,1,2,250,12,1,3,"dynamics","performing","3_p_stim_d.png",242,0.968,3,"Forte","performing-dynamics"
5,24,7936,72,68,1,2,250,12,1,3,"dynamics","performing","3_p_stim_d.png",245,0.98,4,"Forte","performing-dynamics"
6,26,8172,67,63,1,2,250,12,1,3,"dynamics","performing","3_p_stim_d.png",236,0.944,5,"FtoP","performing-dynamics"
7,29,8406,67,62,1,2,250,12,1,3,"dynamics","performing","3_p_stim_d.png",234,0.936,6,"Piano","performing-dynamics"
8,31,8643,67,53,1,2,250,12,1,3,"dynamics","performing","3_p_stim_d.png",237,0.948,7,"Piano","performing-dynamics"
9,33,8884,79,70,1,2,250,12,1,3,"dynamics","performing","3_p_stim_d.png",241,0.964,8,"PtoF","performing-dynamics"
10,34,9110,78,87,1,2,250,12,1,3,"dynamics","performing","3_p_stim_d.png",226,0.904,9,"Forte","performing-dynamics"
11,37,9343,79,84,1,2,250,12,1,3,"dynamics","performing","3_p_stim_d.png",233,0.932,10,"Forte","performing-dynamics"
12,38,9570,76,84,1,2,250,12,1,3,"dynamics","performing","3_p_stim_d.png",227,0.908,11,"Forte","performing-dynamics"
