RowNr,NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
1,18,9243,60,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
2,21,9476,62,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
3,23,9639,64,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
4,25,9872,65,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
5,27,10082,67,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
6,29,10310,65,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
7,31,10480,64,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
8,33,10650,62,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
9,34,10742,60,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
10,36,10950,62,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
11,38,11124,64,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
12,40,11386,65,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
13,42,11576,67,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
14,44,11780,65,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
15,46,11984,64,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
16,48,12134,62,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
17,51,12536,60,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
18,53,12738,62,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
19,55,12912,64,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
20,56,13112,65,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
21,58,13324,67,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
22,61,13566,65,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
23,62,13758,64,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
24,64,13920,62,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
25,66,14007,60,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
26,68,14240,62,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
27,70,14448,64,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
28,72,14644,65,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
29,74,14808,67,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
30,76,"",65,"",0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
31,78,15282,64,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
32,80,15644,62,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
33,82,17014,60,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
34,84,17336,67,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
35,86,17631,65,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
36,88,17810,64,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
37,90,17974,62,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
38,92,18218,60,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
39,94,18426,62,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
40,96,18623,64,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
41,98,18836,65,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
42,101,19216,67,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
43,103,19450,65,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
44,105,19650,64,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
45,106,19824,62,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
46,109,20032,60,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
47,110,20216,62,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
48,113,20416,64,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
49,115,20636,65,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
50,116,20702,67,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
51,118,20928,65,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
52,120,21138,64,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
53,122,21224,62,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
54,124,21454,60,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
55,126,21710,62,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
56,128,21892,64,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
57,130,22117,65,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
58,133,22408,67,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
59,135,22634,65,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
60,137,22817,64,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
61,138,22982,62,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
62,141,23180,60,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
63,143,23398,62,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
64,145,23564,64,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
65,147,23832,65,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
66,148,25385,67,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
67,150,26964,60,64,0,2,3,4,3,articulation,performing,3_p_stim_a.png,1
1,18,9258,60,64,0,2,7,3,3,dynamics,performing,3_p_stim_d.png,1
2,21,9508,62,64,0,2,7,3,3,dynamics,performing,3_p_stim_d.png,1
3,23,9722,64,64,0,2,7,3,3,dynamics,performing,3_p_stim_d.png,1
4,25,9907,65,64,0,2,7,3,3,dynamics,performing,3_p_stim_d.png,1
5,27,10116,67,64,0,2,7,3,3,dynamics,performing,3_p_stim_d.png,1
6,29,10357,65,64,0,2,7,3,3,dynamics,performing,3_p_stim_d.png,1
7,31,10525,64,64,0,2,7,3,3,dynamics,performing,3_p_stim_d.png,1
8,32,10689,62,64,0,2,7,3,3,dynamics,performing,3_p_stim_d.png,1
9,34,10867,60,64,0,2,7,3,3,dynamics,performing,3_p_stim_d.png,1
10,36,11128,62,64,0,2,7,3,3,dynamics,performing,3_p_stim_d.png,1
11,38,11349,64,64,0,2,7,3,3,dynamics,performing,3_p_stim_d.png,1
12,40,11565,65,64,0,2,7,3,3,dynamics,performing,3_p_stim_d.png,1
13,42,11746,67,64,0,2,7,3,3,dynamics,performing,3_p_stim_d.png,1
14,45,12021,65,64,0,2,7,3,3,dynamics,performing,3_p_stim_d.png,1
15,46,12229,64,64,0,2,7,3,3,dynamics,performing,3_p_stim_d.png,1
