NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error,RowNr
74,13218,64,69,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,23
76,13405,62,73,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,24
79,13588,60,59,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,25
81,13809,62,69,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,26
83,13970,64,62,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,27
85,14158,65,63,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,28
87,14377,67,61,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,29
89,14595,65,62,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,30
90,14794,64,62,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,31
93,14988,62,69,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,32
95,15194,60,55,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,33
97,17422,67,50,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,34
99,17611,65,57,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,35
100,17840,64,66,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,36
103,18036,62,66,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,37
105,18225,60,60,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,38
107,18432,62,60,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,39
109,18622,64,62,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,40
111,18808,65,67,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,41
113,19026,67,87,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,42
114,19224,65,81,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,43
116,19451,64,76,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,44
118,19622,62,78,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,45
120,19805,60,75,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,46
122,19999,62,71,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,47
125,20204,64,72,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,48
127,20366,65,66,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,49
129,20602,67,62,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,50
131,20820,65,62,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,51
132,21025,64,65,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,52
135,21221,62,68,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,53
137,21407,60,66,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,54
139,21624,62,64,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,55
141,21830,64,67,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,56
142,21991,65,74,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,57
144,22208,67,81,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,58
146,22395,65,72,1,2,3,3,7,dynamics,performing,7_p_stim_d.png,1,59
