RowNr,NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
1,17,9022,60,54,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
2,19,9262,62,65,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
3,20,9470,64,70,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
4,22,9638,65,71,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
5,24,9866,67,76,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
6,26,10064,65,72,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
7,28,10274,64,71,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
8,30,10460,62,76,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
9,32,10645,60,66,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
10,35,10884,62,74,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
11,37,11078,64,72,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
12,39,11290,65,78,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
13,41,11488,67,76,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
14,43,11684,65,75,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
15,45,11910,64,71,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
16,47,12100,62,71,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
17,49,12320,60,68,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
18,50,12527,62,74,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
19,52,12733,64,72,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
20,54,12909,65,70,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
21,57,13126,67,73,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
22,59,13326,65,68,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
23,60,13549,64,66,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
24,63,13760,62,76,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
25,65,13939,60,62,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
26,67,14159,62,67,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
27,69,14304,64,62,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
28,71,14544,65,81,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
29,73,14750,67,58,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
30,75,"",65,"",1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
31,77,15171,64,71,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
32,79,15473,62,54,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
33,81,15653,60,64,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
34,83,17282,67,61,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
35,85,17526,65,71,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
36,87,17733,64,64,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
37,89,17925,62,66,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
38,91,18124,60,60,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
39,93,18344,62,62,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
40,95,18536,64,69,1,2,3,4,3,articulation,performing,3_p_stim_a.png,1
