RowNr,NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error,Tempo
43,99,21567,74,68,1,2,10,3,1,articulation,teaching,1_t_stim_a.png,1,100
44,101,21855,76,63,1,2,10,3,1,articulation,teaching,1_t_stim_a.png,1,100
45,103,22116,79,58,1,2,10,3,1,articulation,teaching,1_t_stim_a.png,1,100
46,104,22385,74,66,1,2,10,3,1,articulation,teaching,1_t_stim_a.png,1,100
47,107,22639,71,74,1,2,10,3,1,articulation,teaching,1_t_stim_a.png,1,100
48,109,22916,72,67,1,2,10,3,1,articulation,teaching,1_t_stim_a.png,1,100
49,111,23170,72,63,1,2,10,3,1,articulation,teaching,1_t_stim_a.png,1,100
50,113,23431,74,67,1,2,10,3,1,articulation,teaching,1_t_stim_a.png,1,100
51,115,23703,74,66,1,2,10,3,1,articulation,teaching,1_t_stim_a.png,1,100
52,117,23987,76,59,1,2,10,3,1,articulation,teaching,1_t_stim_a.png,1,100
53,119,25098,65,64,1,2,10,3,1,articulation,teaching,1_t_stim_a.png,1,100
54,121,25370,65,70,1,2,10,3,1,articulation,teaching,1_t_stim_a.png,1,100
55,123,25651,64,56,1,2,10,3,1,articulation,teaching,1_t_stim_a.png,1,100
56,125,25913,64,62,1,2,10,3,1,articulation,teaching,1_t_stim_a.png,1,100
57,127,26203,62,62,1,2,10,3,1,articulation,teaching,1_t_stim_a.png,1,100
58,129,27281,67,56,1,2,10,3,1,articulation,teaching,1_t_stim_a.png,1,100
59,131,27540,67,57,1,2,10,3,1,articulation,teaching,1_t_stim_a.png,1,100
60,133,27807,71,63,1,2,10,3,1,articulation,teaching,1_t_stim_a.png,1,100
61,135,28088,71,62,1,2,10,3,1,articulation,teaching,1_t_stim_a.png,1,100
62,137,28342,72,71,1,2,10,3,1,articulation,teaching,1_t_stim_a.png,1,100
63,139,28605,72,73,1,2,10,3,1,articulation,teaching,1_t_stim_a.png,1,100
64,141,28865,73,73,1,2,10,3,1,articulation,teaching,1_t_stim_a.png,1,100
65,143,29135,73,78,1,2,10,3,1,articulation,teaching,1_t_stim_a.png,1,100
66,145,29432,74,75,1,2,10,3,1,articulation,teaching,1_t_stim_a.png,1,100
67,146,29978,77,70,1,2,10,3,1,articulation,teaching,1_t_stim_a.png,1,100
68,149,30516,76,66,1,2,10,3,1,articulation,teaching,1_t_stim_a.png,1,100
69,150,31062,74,70,1,2,10,3,1,articulation,teaching,1_t_stim_a.png,1,100
70,153,31604,72,69,1,2,10,3,1,articulation,teaching,1_t_stim_a.png,1,100
71,155,32150,84,70,1,2,10,3,1,articulation,teaching,1_t_stim_a.png,1,100
72,157,32708,84,70,1,2,10,3,1,articulation,teaching,1_t_stim_a.png,1,100
1,17,7824,79,80,1,2,10,4,4,dynamics,teaching,4_t_stim_d.png,1,100
2,18,8093,78,85,1,2,10,4,4,dynamics,teaching,4_t_stim_d.png,1,100
3,20,8372,79,71,1,2,10,4,4,dynamics,teaching,4_t_stim_d.png,1,100
4,22,8632,76,76,1,2,10,4,4,dynamics,teaching,4_t_stim_d.png,1,100
5,24,8897,72,70,1,2,10,4,4,dynamics,teaching,4_t_stim_d.png,1,100
6,27,9190,67,44,1,2,10,4,4,dynamics,teaching,4_t_stim_d.png,1,100
7,29,9449,67,53,1,2,10,4,4,dynamics,teaching,4_t_stim_d.png,1,100
8,31,9712,67,62,1,2,10,4,4,dynamics,teaching,4_t_stim_d.png,1,100
9,33,9962,79,91,1,2,10,4,4,dynamics,teaching,4_t_stim_d.png,1,100
10,34,10238,78,81,1,2,10,4,4,dynamics,teaching,4_t_stim_d.png,1,100
